Group;Plate;Concentration;Compound;Condition;Row;Column;Counts;ConditionID;GroupID
Large;565;0;Control;Control:0;;11;11;;
S;565;0;Control;Control:0;;12;1622;;
Small;565;0;Control;Control:0;;12;317;;
G0 + G1;565;0;Control;Control:0;;12;9468;;
0:None;565;0;Control;Control:0;;12;40;;
late M;565;0;Control;Control:0;;12;201;;
G2 + early M;565;0;Control;Control:0;;12;558;;
Large;565;0;Control;Control:0;;12;74;;
G0 + G1;565;100;PFBA;PFBA:100;;1;8843;;
S;565;100;PFBA;PFBA:100;;1;840;;
0:None;565;100;PFBA;PFBA:100;;1;24;;
Small;565;100;PFBA;PFBA:100;;1;184;;
late M;565;100;PFBA;PFBA:100;;1;161;;
G2 + early M;565;100;PFBA;PFBA:100;;1;239;;
Large;565;100;PFBA;PFBA:100;;1;38;;
S;565;10;PFBA;PFBA:10;;2;337;;
G0 + G1;565;10;PFBA;PFBA:10;;2;6737;;
Small;565;10;PFBA;PFBA:10;;2;70;;
G2 + early M;565;10;PFBA;PFBA:10;;2;100;;
late M;565;10;PFBA;PFBA:10;;2;87;;
0:None;565;10;PFBA;PFBA:10;;2;26;;
Large;565;10;PFBA;PFBA:10;;2;17;;
0:None;565;1;PFBA;PFBA:1;;3;11;;
G0 + G1;565;1;PFBA;PFBA:1;;3;13271;;
S;565;1;PFBA;PFBA:1;;3;1056;;
Small;565;1;PFBA;PFBA:1;;3;227;;
late M;565;1;PFBA;PFBA:1;;3;207;;
G2 + early M;565;1;PFBA;PFBA:1;;3;292;;
Large;565;1;PFBA;PFBA:1;;3;66;;
G0 + G1;565;0,1;PFBA;PFBA:0,1;;4;8989;;
S;565;0,1;PFBA;PFBA:0,1;;4;441;;
0:None;565;0,1;PFBA;PFBA:0,1;;4;26;;
late M;565;0,1;PFBA;PFBA:0,1;;4;176;;
Small;565;0,1;PFBA;PFBA:0,1;;4;168;;
G2 + early M;565;0,1;PFBA;PFBA:0,1;;4;161;;
Large;565;0,1;PFBA;PFBA:0,1;;4;25;;
G2 + early M;565;0,01;PFBA;PFBA:0,01;;5;102;;
G0 + G1;565;0,01;PFBA;PFBA:0,01;;5;6906;;
late M;565;0,01;PFBA;PFBA:0,01;;5;83;;
S;565;0,01;PFBA;PFBA:0,01;;5;308;;
Small;565;0,01;PFBA;PFBA:0,01;;5;82;;
Large;565;0,01;PFBA;PFBA:0,01;;5;14;;
0:None;565;0,01;PFBA;PFBA:0,01;;5;22;;
S;565;100;PFBS;PFBS:100;;6;221;;
G0 + G1;565;100;PFBS;PFBS:100;;6;6509;;
0:None;565;100;PFBS;PFBS:100;;6;35;;
G2 + early M;565;100;PFBS;PFBS:100;;6;107;;
late M;565;100;PFBS;PFBS:100;;6;85;;
Small;565;100;PFBS;PFBS:100;;6;66;;
Large;565;100;PFBS;PFBS:100;;6;11;;
G0 + G1;565;10;PFBS;PFBS:10;;7;12158;;
late M;565;10;PFBS;PFBS:10;;7;157;;
G2 + early M;565;10;PFBS;PFBS:10;;7;215;;
0:None;565;10;PFBS;PFBS:10;;7;20;;
S;565;10;PFBS;PFBS:10;;7;618;;
Small;565;10;PFBS;PFBS:10;;7;183;;
Large;565;10;PFBS;PFBS:10;;7;47;;
G0 + G1;565;1;PFBS;PFBS:1;;8;10942;;
late M;565;1;PFBS;PFBS:1;;8;163;;
S;565;1;PFBS;PFBS:1;;8;344;;
Small;565;1;PFBS;PFBS:1;;8;151;;
0:None;565;1;PFBS;PFBS:1;;8;25;;
G2 + early M;565;1;PFBS;PFBS:1;;8;158;;
Large;565;1;PFBS;PFBS:1;;8;16;;
S;565;0,1;PFBS;PFBS:0,1;;9;314;;
G0 + G1;565;0,1;PFBS;PFBS:0,1;;9;7824;;
G2 + early M;565;0,1;PFBS;PFBS:0,1;;9;121;;
late M;565;0,1;PFBS;PFBS:0,1;;9;118;;
0:None;565;0,1;PFBS;PFBS:0,1;;9;41;;
Small;565;0,1;PFBS;PFBS:0,1;;9;99;;
Large;565;0,1;PFBS;PFBS:0,1;;9;16;;
late M;565;0,01;PFBS;PFBS:0,01;;10;181;;
G0 + G1;565;0,01;PFBS;PFBS:0,01;;10;9124;;
0:None;565;0,01;PFBS;PFBS:0,01;;10;38;;
Small;565;0,01;PFBS;PFBS:0,01;;10;126;;
Large;565;0,01;PFBS;PFBS:0,01;;10;17;;
S;565;0,01;PFBS;PFBS:0,01;;10;251;;
G2 + early M;565;0,01;PFBS;PFBS:0,01;;10;125;;
G0 + G1;565;0;Control;Control:0;;11;6920;;
late M;565;0;Control;Control:0;;11;77;;
S;565;0;Control;Control:0;;11;291;;
Small;565;0;Control;Control:0;;11;86;;
Large;565;0;Control;Control:0;;11;13;;
0:None;565;0;Control;Control:0;;11;40;;
G2 + early M;565;0;Control;Control:0;;11;86;;
G0 + G1;565;0;Control;Control:0;;12;8059;;
S;565;0;Control;Control:0;;12;1354;;
late M;565;0;Control;Control:0;;12;180;;
Small;565;0;Control;Control:0;;12;220;;
G2 + early M;565;0;Control;Control:0;;12;452;;
0:None;565;0;Control;Control:0;;12;26;;
Large;565;0;Control;Control:0;;12;46;;
G0 + G1;565;100;PFBA;PFBA:100;;1;10727;;
late M;565;100;PFBA;PFBA:100;;1;186;;
S;565;100;PFBA;PFBA:100;;1;986;;
G2 + early M;565;100;PFBA;PFBA:100;;1;261;;
Small;565;100;PFBA;PFBA:100;;1;227;;
Large;565;100;PFBA;PFBA:100;;1;55;;
0:None;565;100;PFBA;PFBA:100;;1;33;;
G0 + G1;565;10;PFBA;PFBA:10;;2;6560;;
S;565;10;PFBA;PFBA:10;;2;370;;
Small;565;10;PFBA;PFBA:10;;2;81;;
G2 + early M;565;10;PFBA;PFBA:10;;2;140;;
late M;565;10;PFBA;PFBA:10;;2;74;;
0:None;565;10;PFBA;PFBA:10;;2;32;;
Large;565;10;PFBA;PFBA:10;;2;10;;
G2 + early M;565;1;PFBA;PFBA:1;;3;238;;
G0 + G1;565;1;PFBA;PFBA:1;;3;11809;;
late M;565;1;PFBA;PFBA:1;;3;178;;
Small;565;1;PFBA;PFBA:1;;3;182;;
S;565;1;PFBA;PFBA:1;;3;1007;;
0:None;565;1;PFBA;PFBA:1;;3;20;;
Large;565;1;PFBA;PFBA:1;;3;49;;
G0 + G1;565;0,1;PFBA;PFBA:0,1;;4;7674;;
S;565;0,1;PFBA;PFBA:0,1;;4;378;;
0:None;565;0,1;PFBA;PFBA:0,1;;4;29;;
G2 + early M;565;0,1;PFBA;PFBA:0,1;;4;129;;
Small;565;0,1;PFBA;PFBA:0,1;;4;98;;
late M;565;0,1;PFBA;PFBA:0,1;;4;130;;
Large;565;0,1;PFBA;PFBA:0,1;;4;19;;
G0 + G1;565;0,01;PFBA;PFBA:0,01;;5;4921;;
Small;565;0,01;PFBA;PFBA:0,01;;5;43;;
0:None;565;0,01;PFBA;PFBA:0,01;;5;22;;
G2 + early M;565;0,01;PFBA;PFBA:0,01;;5;72;;
S;565;0,01;PFBA;PFBA:0,01;;5;207;;
Large;565;0,01;PFBA;PFBA:0,01;;5;6;;
late M;565;0,01;PFBA;PFBA:0,01;;5;62;;
late M;565;100;PFBS;PFBS:100;;6;97;;
G0 + G1;565;100;PFBS;PFBS:100;;6;5758;;
0:None;565;100;PFBS;PFBS:100;;6;60;;
G2 + early M;565;100;PFBS;PFBS:100;;6;89;;
S;565;100;PFBS;PFBS:100;;6;174;;
Small;565;100;PFBS;PFBS:100;;6;41;;
Large;565;100;PFBS;PFBS:100;;6;13;;
G0 + G1;565;10;PFBS;PFBS:10;;7;9625;;
S;565;10;PFBS;PFBS:10;;7;567;;
0:None;565;10;PFBS;PFBS:10;;7;35;;
Small;565;10;PFBS;PFBS:10;;7;137;;
G2 + early M;565;10;PFBS;PFBS:10;;7;179;;
late M;565;10;PFBS;PFBS:10;;7;157;;
Large;565;10;PFBS;PFBS:10;;7;41;;
G0 + G1;565;1;PFBS;PFBS:1;;8;8257;;
S;565;1;PFBS;PFBS:1;;8;508;;
Small;565;1;PFBS;PFBS:1;;8;148;;
late M;565;1;PFBS;PFBS:1;;8;152;;
G2 + early M;565;1;PFBS;PFBS:1;;8;151;;
Large;565;1;PFBS;PFBS:1;;8;32;;
0:None;565;1;PFBS;PFBS:1;;8;27;;
G0 + G1;565;0,1;PFBS;PFBS:0,1;;9;7919;;
G2 + early M;565;0,1;PFBS;PFBS:0,1;;9;119;;
0:None;565;0,1;PFBS;PFBS:0,1;;9;34;;
Small;565;0,1;PFBS;PFBS:0,1;;9;108;;
late M;565;0,1;PFBS;PFBS:0,1;;9;135;;
S;565;0,1;PFBS;PFBS:0,1;;9;432;;
Large;565;0,1;PFBS;PFBS:0,1;;9;24;;
late M;565;0,01;PFBS;PFBS:0,01;;10;141;;
G2 + early M;565;0,01;PFBS;PFBS:0,01;;10;87;;
Small;565;0,01;PFBS;PFBS:0,01;;10;105;;
G0 + G1;565;0,01;PFBS;PFBS:0,01;;10;6380;;
S;565;0,01;PFBS;PFBS:0,01;;10;231;;
Large;565;0,01;PFBS;PFBS:0,01;;10;11;;
0:None;565;0,01;PFBS;PFBS:0,01;;10;37;;
G0 + G1;565;0;Control;Control:0;;11;6320;;
Small;565;0;Control;Control:0;;11;115;;
0:None;565;0;Control;Control:0;;11;66;;
Large;565;0;Control;Control:0;;11;8;;
G2 + early M;565;0;Control;Control:0;;11;68;;
S;565;0;Control;Control:0;;11;121;;
late M;565;0;Control;Control:0;;11;84;;
G0 + G1;565;0;Control;Control:0;;12;6668;;
S;565;0;Control;Control:0;;12;666;;
G2 + early M;565;0;Control;Control:0;;12;252;;
0:None;565;0;Control;Control:0;;12;46;;
late M;565;0;Control;Control:0;;12;130;;
Small;565;0;Control;Control:0;;12;139;;
Large;565;0;Control;Control:0;;12;15;;
G0 + G1;565;0,01;C6O4;C6O4:0,01;;1;7194;;
S;565;0,01;C6O4;C6O4:0,01;;1;537;;
Large;565;0,01;C6O4;C6O4:0,01;;1;29;;
0:None;565;0,01;C6O4;C6O4:0,01;;1;32;;
G2 + early M;565;0,01;C6O4;C6O4:0,01;;1;148;;
late M;565;0,01;C6O4;C6O4:0,01;;1;124;;
Small;565;0,01;C6O4;C6O4:0,01;;1;122;;
G0 + G1;565;0,01;C6O4;C6O4:0,01;;2;6392;;
Small;565;0,01;C6O4;C6O4:0,01;;2;106;;
G2 + early M;565;0,01;C6O4;C6O4:0,01;;2;107;;
S;565;0,01;C6O4;C6O4:0,01;;2;316;;
0:None;565;0,01;C6O4;C6O4:0,01;;2;33;;
late M;565;0,01;C6O4;C6O4:0,01;;2;115;;
Large;565;0,01;C6O4;C6O4:0,01;;2;11;;
G0 + G1;565;0,01;C6O4;C6O4:0,01;;3;9047;;
late M;565;0,01;C6O4;C6O4:0,01;;3;125;;
G2 + early M;565;0,01;C6O4;C6O4:0,01;;3;124;;
S;565;0,01;C6O4;C6O4:0,01;;3;365;;
Small;565;0,01;C6O4;C6O4:0,01;;3;111;;
0:None;565;0,01;C6O4;C6O4:0,01;;3;27;;
Large;565;0,01;C6O4;C6O4:0,01;;3;16;;
G0 + G1;565;0,1;C6O4;C6O4:0,1;;4;4088;;
S;565;0,1;C6O4;C6O4:0,1;;4;179;;
0:None;565;0,1;C6O4;C6O4:0,1;;4;34;;
Small;565;0,1;C6O4;C6O4:0,1;;4;48;;
G2 + early M;565;0,1;C6O4;C6O4:0,1;;4;62;;
late M;565;0,1;C6O4;C6O4:0,1;;4;66;;
Large;565;0,1;C6O4;C6O4:0,1;;4;6;;
G0 + G1;565;0,1;C6O4;C6O4:0,1;;5;4096;;
S;565;0,1;C6O4;C6O4:0,1;;5;167;;
0:None;565;0,1;C6O4;C6O4:0,1;;5;30;;
late M;565;0,1;C6O4;C6O4:0,1;;5;56;;
Small;565;0,1;C6O4;C6O4:0,1;;5;44;;
G2 + early M;565;0,1;C6O4;C6O4:0,1;;5;59;;
Large;565;0,1;C6O4;C6O4:0,1;;5;5;;
G0 + G1;565;0,1;C6O4;C6O4:0,1;;6;6628;;
G2 + early M;565;0,1;C6O4;C6O4:0,1;;6;86;;
0:None;565;0,1;C6O4;C6O4:0,1;;6;38;;
S;565;0,1;C6O4;C6O4:0,1;;6;251;;
Small;565;0,1;C6O4;C6O4:0,1;;6;65;;
late M;565;0,1;C6O4;C6O4:0,1;;6;101;;
Large;565;0,1;C6O4;C6O4:0,1;;6;14;;
G2 + early M;565;1;C6O4;C6O4:1;;7;226;;
G0 + G1;565;1;C6O4;C6O4:1;;7;7212;;
0:None;565;1;C6O4;C6O4:1;;7;38;;
Small;565;1;C6O4;C6O4:1;;7;105;;
S;565;1;C6O4;C6O4:1;;7;786;;
late M;565;1;C6O4;C6O4:1;;7;150;;
Large;565;1;C6O4;C6O4:1;;7;29;;
G0 + G1;565;1;C6O4;C6O4:1;;8;4966;;
Small;565;1;C6O4;C6O4:1;;8;62;;
S;565;1;C6O4;C6O4:1;;8;159;;
late M;565;1;C6O4;C6O4:1;;8;66;;
0:None;565;1;C6O4;C6O4:1;;8;39;;
G2 + early M;565;1;C6O4;C6O4:1;;8;89;;
Large;565;1;C6O4;C6O4:1;;8;7;;
G0 + G1;565;1;C6O4;C6O4:1;;9;7789;;
0:None;565;1;C6O4;C6O4:1;;9;31;;
Small;565;1;C6O4;C6O4:1;;9;90;;
late M;565;1;C6O4;C6O4:1;;9;150;;
S;565;1;C6O4;C6O4:1;;9;301;;
G2 + early M;565;1;C6O4;C6O4:1;;9;115;;
Large;565;1;C6O4;C6O4:1;;9;18;;
G0 + G1;565;0;Control;Control:0;;10;9134;;
G2 + early M;565;0;Control;Control:0;;10;145;;
0:None;565;0;Control;Control:0;;10;30;;
late M;565;0;Control;Control:0;;10;117;;
Small;565;0;Control;Control:0;;10;144;;
S;565;0;Control;Control:0;;10;338;;
Large;565;0;Control;Control:0;;10;20;;
G0 + G1;565;0;Control;Control:0;;11;6743;;
S;565;0;Control;Control:0;;11;181;;
Small;565;0;Control;Control:0;;11;99;;
late M;565;0;Control;Control:0;;11;63;;
0:None;565;0;Control;Control:0;;11;43;;
G2 + early M;565;0;Control;Control:0;;11;69;;
Large;565;0;Control;Control:0;;11;13;;
G0 + G1;565;0;Control;Control:0;;12;7425;;
Small;565;0;Control;Control:0;;12;211;;
S;565;0;Control;Control:0;;12;821;;
late M;565;0;Control;Control:0;;12;137;;
G2 + early M;565;0;Control;Control:0;;12;256;;
0:None;565;0;Control;Control:0;;12;41;;
Large;565;0;Control;Control:0;;12;43;;
S;565;10;C6O4;C6O4:10;;1;487;;
G0 + G1;565;10;C6O4;C6O4:10;;1;8798;;
late M;565;10;C6O4;C6O4:10;;1;148;;
Small;565;10;C6O4;C6O4:10;;1;134;;
Large;565;10;C6O4;C6O4:10;;1;28;;
G2 + early M;565;10;C6O4;C6O4:10;;1;164;;
0:None;565;10;C6O4;C6O4:10;;1;41;;
0:None;565;10;C6O4;C6O4:10;;2;60;;
G0 + G1;565;10;C6O4;C6O4:10;;2;6649;;
S;565;10;C6O4;C6O4:10;;2;748;;
Small;565;10;C6O4;C6O4:10;;2;127;;
late M;565;10;C6O4;C6O4:10;;2;101;;
G2 + early M;565;10;C6O4;C6O4:10;;2;200;;
Large;565;10;C6O4;C6O4:10;;2;33;;
G0 + G1;565;10;C6O4;C6O4:10;;3;5074;;
S;565;10;C6O4;C6O4:10;;3;268;;
Small;565;10;C6O4;C6O4:10;;3;70;;
0:None;565;10;C6O4;C6O4:10;;3;43;;
late M;565;10;C6O4;C6O4:10;;3;78;;
Large;565;10;C6O4;C6O4:10;;3;14;;
G2 + early M;565;10;C6O4;C6O4:10;;3;62;;
G0 + G1;565;100;C6O4;C6O4:100;;4;6132;;
S;565;100;C6O4;C6O4:100;;4;502;;
G2 + early M;565;100;C6O4;C6O4:100;;4;150;;
0:None;565;100;C6O4;C6O4:100;;4;25;;
late M;565;100;C6O4;C6O4:100;;4;93;;
Small;565;100;C6O4;C6O4:100;;4;83;;
Large;565;100;C6O4;C6O4:100;;4;19;;
G0 + G1;565;100;C6O4;C6O4:100;;5;4396;;
0:None;565;100;C6O4;C6O4:100;;5;29;;
Small;565;100;C6O4;C6O4:100;;5;60;;
S;565;100;C6O4;C6O4:100;;5;207;;
G2 + early M;565;100;C6O4;C6O4:100;;5;68;;
late M;565;100;C6O4;C6O4:100;;5;37;;
Large;565;100;C6O4;C6O4:100;;5;4;;
Small;565;100;C6O4;C6O4:100;;6;41;;
G0 + G1;565;100;C6O4;C6O4:100;;6;3792;;
G2 + early M;565;100;C6O4;C6O4:100;;6;64;;
S;565;100;C6O4;C6O4:100;;6;175;;
late M;565;100;C6O4;C6O4:100;;6;51;;
0:None;565;100;C6O4;C6O4:100;;6;21;;
Large;565;100;C6O4;C6O4:100;;6;5;;
G0 + G1;565;0;Control;Control:0;;7;11298;;
S;565;0;Control;Control:0;;7;1129;;
G2 + early M;565;0;Control;Control:0;;7;303;;
Small;565;0;Control;Control:0;;7;167;;
late M;565;0;Control;Control:0;;7;212;;
Large;565;0;Control;Control:0;;7;33;;
0:None;565;0;Control;Control:0;;7;24;;
G0 + G1;565;0;Control;Control:0;;8;4870;;
0:None;565;0;Control;Control:0;;8;35;;
G2 + early M;565;0;Control;Control:0;;8;85;;
Small;565;0;Control;Control:0;;8;61;;
S;565;0;Control;Control:0;;8;286;;
late M;565;0;Control;Control:0;;8;55;;
Large;565;0;Control;Control:0;;8;11;;
G0 + G1;565;0;Control;Control:0;;9;6476;;
S;565;0;Control;Control:0;;9;883;;
0:None;565;0;Control;Control:0;;9;35;;
Small;565;0;Control;Control:0;;9;192;;
late M;565;0;Control;Control:0;;9;99;;
G2 + early M;565;0;Control;Control:0;;9;275;;
Large;565;0;Control;Control:0;;9;35;;
G0 + G1;565;0;Control;Control:0;;10;9022;;
late M;565;0;Control;Control:0;;10;145;;
Small;565;0;Control;Control:0;;10;139;;
S;565;0;Control;Control:0;;10;373;;
G2 + early M;565;0;Control;Control:0;;10;132;;
Large;565;0;Control;Control:0;;10;21;;
0:None;565;0;Control;Control:0;;10;43;;
G0 + G1;565;0;Control;Control:0;;11;8907;;
late M;565;0;Control;Control:0;;11;120;;
S;565;0;Control;Control:0;;11;517;;
Small;565;0;Control;Control:0;;11;136;;
G2 + early M;565;0;Control;Control:0;;11;156;;
0:None;565;0;Control;Control:0;;11;27;;
Large;565;0;Control;Control:0;;11;8;;
G2 + early M;565;0;Control;Control:0;;12;112;;
G0 + G1;565;0;Control;Control:0;;12;6886;;
S;565;0;Control;Control:0;;12;501;;
Small;565;0;Control;Control:0;;12;143;;
late M;565;0;Control;Control:0;;12;121;;
0:None;565;0;Control;Control:0;;12;27;;
Large;565;0;Control;Control:0;;12;24;;
G0 + G1;564;100;PFOA;PFOA:100;;1;13626;;
G2 + early M;564;100;PFOA;PFOA:100;;1;1256;;
S;564;100;PFOA;PFOA:100;;1;3760;;
Small;564;100;PFOA;PFOA:100;;1;393;;
late M;564;100;PFOA;PFOA:100;;1;323;;
Large;564;100;PFOA;PFOA:100;;1;105;;
0:None;564;100;PFOA;PFOA:100;;1;13;;
G0 + G1;564;10;PFOA;PFOA:10;;2;14650;;
S;564;10;PFOA;PFOA:10;;2;2721;;
Small;564;10;PFOA;PFOA:10;;2;496;;
late M;564;10;PFOA;PFOA:10;;2;307;;
G2 + early M;564;10;PFOA;PFOA:10;;2;776;;
Large;564;10;PFOA;PFOA:10;;2;114;;
0:None;564;10;PFOA;PFOA:10;;2;13;;
G0 + G1;564;1;PFOA;PFOA:1;;3;11154;;
Small;564;1;PFOA;PFOA:1;;3;491;;
S;564;1;PFOA;PFOA:1;;3;2657;;
G2 + early M;564;1;PFOA;PFOA:1;;3;939;;
late M;564;1;PFOA;PFOA:1;;3;266;;
0:None;564;1;PFOA;PFOA:1;;3;20;;
Large;564;1;PFOA;PFOA:1;;3;107;;
S;564;0,1;PFOA;PFOA:0,1;;4;2731;;
Small;564;0,1;PFOA;PFOA:0,1;;4;475;;
G0 + G1;564;0,1;PFOA;PFOA:0,1;;4;13020;;
G2 + early M;564;0,1;PFOA;PFOA:0,1;;4;1087;;
late M;564;0,1;PFOA;PFOA:0,1;;4;326;;
Large;564;0,1;PFOA;PFOA:0,1;;4;109;;
0:None;564;0,1;PFOA;PFOA:0,1;;4;19;;
G0 + G1;564;0,01;PFOA;PFOA:0,01;;5;15185;;
G2 + early M;564;0,01;PFOA;PFOA:0,01;;5;927;;
S;564;0,01;PFOA;PFOA:0,01;;5;3240;;
Small;564;0,01;PFOA;PFOA:0,01;;5;451;;
late M;564;0,01;PFOA;PFOA:0,01;;5;297;;
Large;564;0,01;PFOA;PFOA:0,01;;5;109;;
0:None;564;0,01;PFOA;PFOA:0,01;;5;16;;
G0 + G1;564;100;PFOS;PFOS:100;;6;13362;;
S;564;100;PFOS;PFOS:100;;6;3227;;
late M;564;100;PFOS;PFOS:100;;6;268;;
Small;564;100;PFOS;PFOS:100;;6;329;;
G2 + early M;564;100;PFOS;PFOS:100;;6;894;;
0:None;564;100;PFOS;PFOS:100;;6;15;;
Large;564;100;PFOS;PFOS:100;;6;96;;
G0 + G1;564;10;PFOS;PFOS:10;;7;11561;;
S;564;10;PFOS;PFOS:10;;7;2634;;
G2 + early M;564;10;PFOS;PFOS:10;;7;1042;;
late M;564;10;PFOS;PFOS:10;;7;336;;
Small;564;10;PFOS;PFOS:10;;7;455;;
Large;564;10;PFOS;PFOS:10;;7;82;;
0:None;564;10;PFOS;PFOS:10;;7;12;;
G0 + G1;564;1;PFOS;PFOS:1;;8;11497;;
S;564;1;PFOS;PFOS:1;;8;3378;;
G2 + early M;564;1;PFOS;PFOS:1;;8;1343;;
Large;564;1;PFOS;PFOS:1;;8;80;;
Small;564;1;PFOS;PFOS:1;;8;417;;
late M;564;1;PFOS;PFOS:1;;8;303;;
0:None;564;1;PFOS;PFOS:1;;8;18;;
G0 + G1;564;0,1;PFOS;PFOS:0,1;;9;13974;;
G2 + early M;564;0,1;PFOS;PFOS:0,1;;9;637;;
S;564;0,1;PFOS;PFOS:0,1;;9;2341;;
Small;564;0,1;PFOS;PFOS:0,1;;9;418;;
late M;564;0,1;PFOS;PFOS:0,1;;9;316;;
0:None;564;0,1;PFOS;PFOS:0,1;;9;17;;
Large;564;0,1;PFOS;PFOS:0,1;;9;56;;
S;564;0,01;PFOS;PFOS:0,01;;10;5176;;
G0 + G1;564;0,01;PFOS;PFOS:0,01;;10;14008;;
Small;564;0,01;PFOS;PFOS:0,01;;10;754;;
G2 + early M;564;0,01;PFOS;PFOS:0,01;;10;1946;;
Large;564;0,01;PFOS;PFOS:0,01;;10;157;;
late M;564;0,01;PFOS;PFOS:0,01;;10;429;;
0:None;564;0,01;PFOS;PFOS:0,01;;10;15;;
